[[1, 1, 0], 3, 3, -0.5610623422902163]
[[1, 1, 0], 4, 3, 0.1438683791497886]
[[1, 1, 0], 0, 4, 0.1841250582659831]
[[1, 1, 0], 1, 4, -0.0]
[[1, 1, 0], 2, 4, -0.0]
[[1, 1, 0], 3, 4, 0.1438683791497886]
[[1, 1, 0], 4, 4, -0.7271876577097839]
[[1, 1, 0], 5, 5, 0.3825000992065024]
[[1, 1, 0], 6, 5, 0.1809993666678123]
[[1, 1, 0], 7, 5, 0.0]
[[1, 1, 0], 5, 6, 0.1809993666678123]
[[1, 1, 0], 6, 6, 0.5914999007934976]
[[1, 1, 0], 7, 6, 0.0]
[[1, 1, 0], 5, 7, 0.0]
[[1, 1, 0], 6, 7, 0.0]
[[1, 1, 0], 7, 7, 0.278]
[[1, 1, 0], 8, 8, 0.3825000992065024]
[[1, 1, 0], 9, 8, 0.1809993666678123]
[[1, 1, 0], 10, 8, 0.0]
[[1, 1, 0], 8, 9, 0.1809993666678123]
[[1, 1, 0], 9, 9, 0.5914999007934976]
[[1, 1, 0], 10, 9, 0.0]
[[1, 1, 0], 8, 10, 0.0]
[[1, 1, 0], 9, 10, 0.0]
[[1, 1, 0], 10, 10, 0.278]
[[1, 1, 0], 11, 16, 4.127381401327502e-06]
[[1, 1, 0], 12, 16, -0.9158722206904526]
[[1, 1, 0], 13, 16, 5.406443579969632e-06]
[[1, 1, 0], 14, 16, -5.629471296856842e-06]
[[1, 1, 0], 15, 16, 1.053562563629713]
[[1, 1, 0], 11, 17, -0.497586658204325]
[[1, 1, 0], 12, 17, 5.406443579969634e-06]
[[1, 1, 0], 13, 17, -1.5676593786877664]
[[1, 1, 0], 14, 17, -1.4284503118946374]
[[1, 1, 0], 15, 17, -1.4958327052205801e-05]
[[1, 1, 0], 11, 18, -1.1537802803356496]
[[1, 1, 0], 12, 18, -1.3438964059748572e-05]
[[1, 1, 0], 13, 18, 1.6201675023460504]
[[1, 1, 0], 14, 18, 0.3258935789986569]
[[1, 1, 0], 15, 18, 5.406443579969633e-06]
[[1, 1, 0], 11, 19, 4.127381401327502e-06]
[[1, 1, 0], 12, 19, 0.9158722206904526]
[[1, 1, 0], 13, 19, -5.406443579969632e-06]
[[1, 1, 0], 14, 19, -5.629471296856842e-06]
[[1, 1, 0], 15, 19, 1.053562563629713]
[[1, 1, 0], 11, 20, -0.497586658204325]
[[1, 1, 0], 12, 20, -5.406443579969634e-06]
[[1, 1, 0], 13, 20, 1.5676593786877664]
[[1, 1, 0], 14, 20, -1.4284503118946374]
[[1, 1, 0], 15, 20, -1.4958327052205801e-05]
[[1, 1, 0], 11, 21, 1.1537802803356496]
[[1, 1, 0], 12, 21, -1.3438964059748572e-05]
[[1, 1, 0], 13, 21, 1.6201675023460504]
[[1, 1, 0], 14, 21, -0.3258935789986569]
[[1, 1, 0], 15, 21, -5.406443579969633e-06]
[[1, 1, 0], 11, 11, -0.5647500000000001]
[[1, 1, 0], 12, 11, 0.0]
[[1, 1, 0], 13, 11, 0.0]
[[1, 1, 0], 14, 11, -0.1063045173948329]
[[1, 1, 0], 15, 11, 0.1841250582659831]
[[1, 1, 0], 11, 12, 0.0]
[[1, 1, 0], 12, 12, -0.4510000085441007]
[[1, 1, 0], 13, 12, -0.015588462201055597]
[[1, 1, 0], 14, 12, 0.0]
[[1, 1, 0], 15, 12, -0.0]
[[1, 1, 0], 11, 13, 0.0]
[[1, 1, 0], 12, 13, -0.015588462201055597]
[[1, 1, 0], 13, 13, -0.4689999914558993]
[[1, 1, 0], 14, 13, 0.0]
[[1, 1, 0], 15, 13, -0.0]
[[1, 1, 0], 11, 14, -0.1063045173948329]
[[1, 1, 0], 12, 14, 0.0]
[[1, 1, 0], 13, 14, 0.0]
[[1, 1, 0], 14, 14, -0.5610623422902163]
[[1, 1, 0], 15, 14, 0.1438683791497886]
[[1, 1, 0], 11, 15, 0.1841250582659831]
[[1, 1, 0], 12, 15, -0.0]
[[1, 1, 0], 13, 15, -0.0]
[[1, 1, 0], 14, 15, 0.1438683791497886]
[[1, 1, 0], 15, 15, -0.7271876577097839]
[[1, 1, 0], 16, 16, 0.3825000992065024]
[[1, 1, 0], 17, 16, 0.1809993666678123]
[[1, 1, 0], 18, 16, 0.0]
[[1, 1, 0], 16, 17, 0.1809993666678123]
[[1, 1, 0], 17, 17, 0.5914999007934976]
[[1, 1, 0], 18, 17, 0.0]
[[1, 1, 0], 16, 18, 0.0]
[[1, 1, 0], 17, 18, 0.0]
[[1, 1, 0], 18, 18, 0.278]
[[1, 1, 0], 19, 19, 0.3825000992065024]
[[1, 1, 0], 20, 19, 0.1809993666678123]
[[1, 1, 0], 21, 19, 0.0]
[[1, 1, 0], 19, 20, 0.1809993666678123]
[[1, 1, 0], 20, 20, 0.5914999007934976]
[[1, 1, 0], 21, 20, 0.0]
[[1, 1, 0], 19, 21, 0.0]
[[1, 1, 0], 20, 21, 0.0]
[[1, 1, 0], 21, 21, 0.278]
[[0, 0, 0], 0, 5, 0.4309249698536848]
[[0, 0, 0], 0, 6, 0.24878961901989924]
[[0, 0, 0], 0, 7, -1.1537800994792047]
[[0, 0, 0], 0, 8, 0.4309249698536848]
[[0, 0, 0], 0, 9, 0.24878961901989924]
[[0, 0, 0], 0, 10, 1.1537800994792047]
[[0, 0, 0], 1, 5, -1.4047174691185929]
[[0, 0, 0], 1, 6, -0.2822292792700155]
[[0, 0, 0], 1, 7, -1.4031133120178594]
[[0, 0, 0], 1, 8, 1.4047174691185929]
[[0, 0, 0], 1, 9, 0.2822292792700155]
[[0, 0, 0], 1, 10, -1.4031133120178594]
[[0, 0, 0], 2, 5, -0.2822292792700155]
[[0, 0, 0], 2, 6, -1.0788139952266425]
[[0, 0, 0], 2, 7, -0.8100714759165567]
